  0.3264	  0.3471	 -0.9034	 -0.0135	  1.0000
  0.4507	  0.3471	 -0.8763	  0.0176	  0.0000
  0.5750	  0.3471	 -0.8861	  0.0201	  0.0000
  0.6993	  0.3471	 -0.8755	  0.0305	  0.0000
  0.8237	  0.3471	 -0.8534	  0.0367	  0.0000
  0.9480	  0.3471	 -0.8537	  0.0178	  0.0000
  1.0723	  0.3471	 -0.8738	 -0.0017	  0.0000
  1.1966	  0.3471	 -0.9050	  0.0038	  0.0000
  1.3210	  0.3471	 -0.8922	  0.0042	  0.0000
  1.4453	  0.3471	 -0.8741	 -0.0342	  0.0000
  1.5696	  0.3471	 -0.9016	  0.0312	  0.0000
  1.6939	  0.3471	 -0.8383	  0.0644	  0.0000
  1.8183	  0.3471	 -0.8175	  0.0601	  0.0000
  1.9426	  0.3471	 -0.8086	  0.0237	  0.0000
  2.0669	  0.3471	 -0.7478	 -0.0769	  0.0000
  2.1913	  0.3471	 -0.7919	 -0.0020	  0.0000
  2.3156	  0.3471	 -0.9261	  0.0289	  0.0000
  2.4399	  0.3471	 -0.9492	  0.0237	  0.0000
  2.5642	  0.3471	 -0.9415	  0.0152	  0.0000
  2.6886	  0.3471	 -0.9646	  0.0405	  0.0000
  2.8129	  0.3471	 -0.9594	 -0.0129	  0.0000
  2.9372	  0.3471	 -0.9329	 -0.0132	  0.0000
  3.0615	  0.3471	 -0.8966	  0.0319	  0.0000
  3.1859	  0.3471	 -0.9158	  0.0046	  0.0000
  3.3102	  0.3471	 -0.9513	 -0.0253	  0.0000
  3.4345	  0.3471	 -0.9532	  0.0244	  0.0000
  3.5588	  0.3471	 -0.9283	  0.0480	  0.0000
  3.6832	  0.3471	 -0.9337	  0.0130	  0.0000
  3.8075	  0.3471	 -0.9371	  0.0554	  0.0000
  3.9318	  0.3471	 -0.9471	  0.0168	  0.0000
  4.0562	  0.3471	 -0.9504	 -0.0164	  0.0000
  4.1805	  0.3471	 -0.9404	  0.0105	  0.0000
  4.3048	  0.3471	 -0.9316	 -0.0488	  0.0000
  4.4291	  0.3471	 -0.9484	 -0.0339	  0.0000
  4.5535	  0.3471	 -0.9591	  0.0038	  0.0000
  4.6778	  0.3471	 -0.9455	  0.0039	  0.0000
  4.8021	  0.3471	 -0.9554	  0.0318	  0.0000
  4.9264	  0.3471	 -0.9516	  0.0148	  0.0000
  5.0508	  0.3471	 -0.9406	 -0.0046	  0.0000
  5.1751	  0.3471	 -0.9040	  0.0021	  0.0000
  5.2994	  0.3471	 -0.9449	 -0.0177	  0.0000
  5.4237	  0.3471	 -0.9621	 -0.0393	  0.0000
  5.5481	  0.3471	 -0.9235	 -0.0654	  0.0000
  5.6724	  0.3471	 -0.9206	 -0.0320	  0.0000
  5.7967	  0.3471	 -0.9321	  0.0269	  0.0000
  5.9211	  0.3471	 -0.9432	 -0.0021	  0.0000
  6.0454	  0.3471	 -0.9305	 -0.0573	  0.0000
  6.1697	  0.3471	 -0.9509	  0.0001	  1.0000
  6.2940	  0.3471	 -0.9452	  0.0667	  0.0000
  6.4184	  0.3471	 -0.9335	  0.0653	  0.0000
  6.5427	  0.3471	 -0.9750	 -0.0012	  0.0000
  6.6670	  0.3471	 -0.9750	  0.0262	  0.0000
